LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Budhanilkantha, Kathmandu",38500000.0,east,3.0,6.0,5.0,1437.45,13.0,10.0,1,1,0,0,51359210.526315786
"Pasikot, Kathmandu",28000000.0,west,2.5,5.0,4.0,1369.0,13.0,6.0,1,0,0,1,32693333.333333332
"Imadol, Lalitpur",23000000.0,north,3.5,3.0,4.0,787.175,13.0,18.0,1,1,0,0,29527777.777777776
"Satdobato, Lalitpur",26000000.0,east,2.0,5.0,3.0,1026.75,20.0,18.0,1,1,0,0,43187500.0
"Budhanilkantha, Kathmandu",25500000.0,east,3.5,5.0,5.0,1026.75,12.0,12.0,1,1,0,0,51359210.526315786
"Banasthali, Kathmandu",50000000.0,east,2.5,5.0,3.0,2738.0,20.0,8.0,1,1,0,0,43800000.0
"Hattigaunda, Kathmandu",33000000.0,east,2.5,4.0,4.0,1779.7,13.0,12.0,1,1,0,1,42730769.23076923
"Phutung, Kathmandu",16000000.0,west,2.5,4.0,4.0,752.95,13.0,12.0,1,1,0,0,21000000.0
"Gurjudhara, Kathmandu",32500000.0,south,2.5,5.0,4.0,1369.0,13.0,17.0,0,1,0,0,22666666.666666668
"Pasikot, Kathmandu",39000000.0,east,2.5,5.0,6.0,1779.7,20.0,23.0,1,0,0,1,32693333.333333332
"Balkumari, Lalitpur",55000000.0,east,2.5,6.0,3.0,3080.25,13.0,13.0,1,1,0,0,67125000.0
"Bhaisepati, Lalitpur",42500000.0,north-west,2.5,5.0,4.0,1437.45,16.0,3.0,1,1,0,0,47632203.38983051
"Imadol, Lalitpur",31000000.0,south,2.5,4.0,3.0,1369.0,13.0,3.0,1,1,0,0,29527777.777777776
"Sitapaila, Kathmandu",35000000.0,south,2.5,5.0,3.0,1711.25,13.0,6.0,1,1,1,0,31995000.0
"Balkhu, Kathmandu",37000000.0,east,2.5,4.0,4.0,1095.2,20.0,27.0,1,1,0,1,37000000.0
"Tikathali, Lalitpur",28500000.0,east,2.5,6.0,4.0,1026.75,13.0,12.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",36500000.0,east,3.0,7.0,4.0,1369.0,13.0,10.0,1,1,0,0,29527777.777777776
"Grande Hospital, Kathmandu",33000000.0,south,2.5,6.0,4.0,1095.2,13.0,3.0,1,1,1,0,28160000.0
"Hattigaunda, Kathmandu",62500000.0,south,2.0,5.0,7.0,2053.5,20.0,27.0,0,0,1,1,42730769.23076923
"Hattigaunda, Kathmandu",75000000.0,south,2.5,7.0,6.0,2738.0,13.0,10.0,0,0,0,1,42730769.23076923
"Imadol, Lalitpur",35000000.0,west,2.5,3.0,3.0,1060.9750000000001,30.0,13.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",31000000.0,east,2.5,4.0,4.0,1095.2,13.0,13.0,1,1,0,0,29527777.777777776
